структура,n,операція,загальний_час_с,час_на_операцію_мкс,операцій_за_сек
AVL,200,INSERT,0.002472,12.361,80902.88
AVL,200,SELECT,0.000359,1.796,556870.39
AVL,200,UPDATE,0.000455,2.274,439850.42
AVL,200,DELETE,0.001369,6.844,146113.39
Splay,200,INSERT,0.001555,7.773,128654.60
Splay,200,SELECT,0.001506,7.530,132802.12
Splay,200,UPDATE,0.001931,9.656,103559.87
Splay,200,DELETE,0.001540,7.700,129870.13
RB,200,INSERT,0.000960,4.799,208355.04
RB,200,SELECT,0.000595,2.974,336275.75
RB,200,UPDATE,0.000714,3.570,280112.06
RB,200,DELETE,0.000753,3.764,265674.80
2-3 дерево,200,INSERT,0.000967,4.833,206932.22
2-3 дерево,200,SELECT,0.000895,4.474,223513.65
2-3 дерево,200,UPDATE,0.000840,4.201,238038.56
2-3 дерево,200,DELETE,0.001052,5.258,190186.39
B-дерево,200,INSERT,0.000911,4.553,219647.46
B-дерево,200,SELECT,0.000631,3.157,316731.32
B-дерево,200,UPDATE,0.000697,3.485,286964.65
B-дерево,200,DELETE,0.000967,4.835,206814.52
B+ дерево,200,INSERT,0.000856,4.280,233658.52
B+ дерево,200,SELECT,0.000472,2.360,423728.83
B+ дерево,200,UPDATE,0.000568,2.839,352236.69
B+ дерево,200,DELETE,0.000827,4.137,241750.27
SQLite,200,INSERT,0.000905,4.526,220957.85
SQLite,200,SELECT,0.000596,2.981,335401.68
SQLite,200,UPDATE,0.000834,4.171,239779.38
SQLite,200,DELETE,0.000605,3.027,330332.84
AVL,500,INSERT,0.005056,10.112,98897.29
AVL,500,SELECT,0.001273,2.546,392711.27
AVL,500,UPDATE,0.001538,3.076,325139.80
AVL,500,DELETE,0.004815,9.631,103835.69
Splay,500,INSERT,0.004990,9.979,100207.43
Splay,500,SELECT,0.005202,10.404,96120.57
Splay,500,UPDATE,0.004885,9.770,102357.29
Splay,500,DELETE,0.004986,9.972,100283.80
RB,500,INSERT,0.002481,4.961,201560.08
RB,500,SELECT,0.001789,3.579,279431.07
RB,500,UPDATE,0.002125,4.251,235255.37
RB,500,DELETE,0.002414,4.829,207090.78
2-3 дерево,500,INSERT,0.002781,5.561,179814.07
2-3 дерево,500,SELECT,0.001841,3.682,271569.41
2-3 дерево,500,UPDATE,0.002021,4.042,247420.64
2-3 дерево,500,DELETE,0.003107,6.215,160908.81
B-дерево,500,INSERT,0.002435,4.869,205376.76
B-дерево,500,SELECT,0.001837,3.674,272182.91
B-дерево,500,UPDATE,0.002109,4.219,237039.84
B-дерево,500,DELETE,0.002973,5.946,168188.78
B+ дерево,500,INSERT,0.002642,5.283,189272.06
B+ дерево,500,SELECT,0.001320,2.640,378759.17
B+ дерево,500,UPDATE,0.001469,2.939,340286.53
B+ дерево,500,DELETE,0.002215,4.430,225733.64
SQLite,500,INSERT,0.002203,4.406,226952.93
SQLite,500,SELECT,0.001333,2.666,375079.70
SQLite,500,UPDATE,0.001956,3.911,255669.47
SQLite,500,DELETE,0.001617,3.234,309262.40
AVL,1000,INSERT,0.009912,9.912,100889.34
AVL,1000,SELECT,0.002936,2.936,340657.47
AVL,1000,UPDATE,0.003492,3.492,286389.35
AVL,1000,DELETE,0.010950,10.950,91322.53
Splay,1000,INSERT,0.009920,9.920,100811.53
Splay,1000,SELECT,0.009215,9.215,108517.54
Splay,1000,UPDATE,0.010168,10.168,98352.11
Splay,1000,DELETE,0.009992,9.992,100077.56
RB,1000,INSERT,0.004342,4.342,230298.01
RB,1000,SELECT,0.003620,3.620,276224.02
RB,1000,UPDATE,0.004191,4.191,238595.15
RB,1000,DELETE,0.003799,3.799,263254.88
2-3 дерево,1000,INSERT,0.004863,4.863,205642.84
2-3 дерево,1000,SELECT,0.003693,3.693,270771.56
2-3 дерево,1000,UPDATE,0.004871,4.871,205288.22
2-3 дерево,1000,DELETE,0.005863,5.863,170558.24
B-дерево,1000,INSERT,0.005141,5.141,194529.82
B-дерево,1000,SELECT,0.003762,3.762,265826.65
B-дерево,1000,UPDATE,0.004477,4.477,223343.91
B-дерево,1000,DELETE,0.005722,5.722,174751.85
B+ дерево,1000,INSERT,0.004720,4.720,211884.61
B+ дерево,1000,SELECT,0.003350,3.350,298534.20
B+ дерево,1000,UPDATE,0.003818,3.818,261934.39
B+ дерево,1000,DELETE,0.004156,4.156,240633.34
SQLite,1000,INSERT,0.004414,4.414,226533.92
SQLite,1000,SELECT,0.001827,1.827,547390.32
SQLite,1000,UPDATE,0.003401,3.401,294022.52
SQLite,1000,DELETE,0.003249,3.249,307763.33
AVL,2000,INSERT,0.019648,9.824,101790.75
AVL,2000,SELECT,0.005361,2.681,373040.37
AVL,2000,UPDATE,0.007217,3.608,277138.82
AVL,2000,DELETE,0.021669,10.835,92297.11
Splay,2000,INSERT,0.020139,10.070,99309.55
Splay,2000,SELECT,0.019964,9.982,100182.58
Splay,2000,UPDATE,0.022556,11.278,88666.43
Splay,2000,DELETE,0.024212,12.106,82603.16
RB,2000,INSERT,0.008729,4.364,229125.26
RB,2000,SELECT,0.007398,3.699,270348.82
RB,2000,UPDATE,0.008798,4.399,227317.93
RB,2000,DELETE,0.008768,4.384,228108.69
2-3 дерево,2000,INSERT,0.009317,4.658,214664.83
2-3 дерево,2000,SELECT,0.008728,4.364,229160.70
2-3 дерево,2000,UPDATE,0.009728,4.864,205594.22
2-3 дерево,2000,DELETE,0.014391,7.195,138980.09
B-дерево,2000,INSERT,0.009047,4.524,221060.43
B-дерево,2000,SELECT,0.008697,4.348,229968.32
B-дерево,2000,UPDATE,0.009268,4.634,215804.44
B-дерево,2000,DELETE,0.013039,6.520,153384.82
B+ дерево,2000,INSERT,0.011380,5.690,175749.24
B+ дерево,2000,SELECT,0.007685,3.843,260240.46
B+ дерево,2000,UPDATE,0.008207,4.103,243704.80
B+ дерево,2000,DELETE,0.010627,5.314,188194.56
SQLite,2000,INSERT,0.007673,3.836,260655.94
SQLite,2000,SELECT,0.003770,1.885,530468.80
SQLite,2000,UPDATE,0.006093,3.046,328253.61
SQLite,2000,DELETE,0.005744,2.872,348216.69
